Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2022-06-17,10.01,10.02,10.0,10.02,128475,0.02,0.03,0.15,0.25,0.01,1
2022-06-16,10.03,10.03,10.0,10.01,102836,-0.02,0.03,-0.2,0.3,0.01,-1
2022-06-15,10.04,10.04,10.04,10.04,1313,0.0,0.0,0.0,0.0,0.0,1
2022-06-14,10.03,10.03,10.02,10.03,16576,0.0,0.0,0.0,0.05,0.0,-1
2022-06-13,10.03,10.03,10.02,10.03,8964,0.0,0.01,0.0,0.1,0.0,-1
2022-06-10,10.03,10.04,10.02,10.04,38855,0.02,0.02,0.15,0.2,0.01,1
2022-06-09,10.03,10.03,10.01,10.01,556,-0.02,0.02,-0.2,0.2,0.01,-1
2022-06-08,10.01,10.02,10.01,10.02,10596,0.01,0.01,0.05,0.1,0.0,-1
2022-06-07,10.02,10.02,10.01,10.02,2538,0.0,0.01,0.0,0.1,0.0,-1
2022-06-06,10.5,11.04,10.01,10.02,24064,-0.48,1.03,-4.79,10.28,0.51,1
2022-06-03,10.01,10.04,10.0,10.01,423318,0.0,0.04,0.0,0.45,0.02,-1
2022-06-02,10.0,10.03,10.0,10.02,2603,0.02,0.03,0.2,0.3,0.01,1
2022-06-01,10.01,10.01,10.01,10.01,57700,0.0,0.0,0.0,0.0,0.0,-1
2022-05-31,10.5,10.56,10.0,10.01,61273,-0.49,0.56,-4.9,5.59,0.28,1
2022-05-27,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,0.0,0.0,-1
2022-05-26,10.0,10.01,9.99,10.0,2200,0.0,0.02,0.02,0.15,0.01,-1
2022-05-25,10.0,10.0,10.0,10.0,101,0.0,0.0,0.0,0.0,0.0,1
2022-05-24,10.0,10.0,9.99,9.99,2544,-0.01,0.01,-0.1,0.1,0.0,-1
2022-05-23,10.0,10.0,10.0,10.0,1200,0.0,0.0,0.0,0.0,0.0,1
2022-05-20,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,0.0,0.0,-1
2022-05-19,10.0,10.0,9.99,9.99,1100,-0.01,0.01,-0.1,0.1,0.0,-1
2022-05-18,10.0,10.02,9.99,10.02,355410,0.02,0.03,0.15,0.25,0.01,1
2022-05-17,10.0,10.0,10.0,10.0,155,0.0,0.0,0.0,0.0,0.0,-1
2022-05-16,10.01,10.04,10.0,10.04,2818,0.03,0.04,0.31,0.4,0.02,1
2022-05-13,10.0,10.0,10.0,10.0,2817,0.0,0.0,0.0,0.0,0.0,1
2022-05-12,10.0,10.5,9.99,9.99,2223,-0.01,0.52,-0.1,5.16,0.26,-1
2022-05-11,10.02,10.02,10.02,10.02,2,0.0,0.0,0.0,0.0,0.0,-1
2022-05-10,10.02,10.02,10.02,10.02,1,0.0,0.0,0.0,0.0,0.0,-1
2022-05-09,10.02,10.02,10.02,10.02,0,0.0,0.0,0.0,0.0,0.0,-1
2022-05-06,10.02,10.02,10.02,10.02,550,0.0,0.0,0.0,0.0,0.0,-1
2022-05-05,10.07,10.07,10.02,10.02,2300,-0.05,0.05,-0.5,0.5,0.03,-1
2022-05-04,10.05,10.05,10.05,10.05,16,0.0,0.0,0.0,0.0,0.0,-1
2022-05-03,10.05,10.05,10.05,10.05,10,0.0,0.0,0.0,0.0,0.0,-1
2022-05-02,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,0.0,0.0,-1
2022-04-29,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,0.0,0.0,-1
2022-04-28,10.03,10.06,10.03,10.05,600,0.02,0.03,0.2,0.3,0.02,-1
2022-04-27,10.03,10.06,10.03,10.05,23758,0.02,0.03,0.2,0.3,0.02,1
2022-04-26,10.04,10.04,10.04,10.04,1,0.0,0.0,0.0,0.0,0.0,-1
2022-04-25,10.04,10.04,10.04,10.04,356,0.0,0.0,0.0,0.0,0.0,1
2022-04-22,10.02,10.02,10.02,10.02,0,0.0,0.0,0.0,0.0,0.0,-1
2022-04-21,10.02,10.02,10.02,10.02,1000,0.0,0.0,0.0,0.0,0.0,-1
2022-04-20,10.02,10.02,10.02,10.02,4925,0.0,0.0,0.0,0.0,0.0,1
2022-04-19,10.0,10.0,10.0,10.0,11,0.0,0.0,0.0,0.0,0.0,-1
2022-04-18,10.02,10.02,10.0,10.0,300,-0.02,0.02,-0.2,0.2,0.01,-1
2022-04-14,10.03,10.03,10.0,10.03,546,0.0,0.03,0.0,0.3,0.01,1
2022-04-13,10.02,10.02,10.02,10.02,60,0.0,0.0,0.0,0.0,0.0,-1
2022-04-12,10.02,10.02,10.02,10.02,3895,0.0,0.0,0.0,0.05,0.0,1
2022-04-11,10.0,10.0,10.0,10.0,1002,0.0,0.0,0.0,0.0,0.0,-1
2022-04-08,10.01,10.01,10.01,10.01,127,0.0,0.0,0.0,0.0,0.0,-1
2022-04-07,10.01,10.01,10.01,10.01,6253,0.0,0.0,0.05,0.05,0.0,-1
2022-04-06,9.99,10.01,9.99,10.01,601,0.02,0.02,0.2,0.2,0.01,-1
2022-04-05,10.01,10.01,10.01,10.01,4401,0.0,0.0,0.0,0.0,0.0,1
2022-04-04,9.98,10.0,9.98,10.0,185194,0.02,0.02,0.2,0.2,0.01,1
2022-04-01,10.0,10.0,9.98,9.98,13850,-0.02,0.02,-0.2,0.2,0.01,-1
2022-03-31,9.99,10.0,9.99,10.0,23401,0.01,0.01,0.1,0.1,0.0,1
2022-03-30,9.98,9.98,9.98,9.98,1,0.0,0.0,0.0,0.0,0.0,-1
2022-03-29,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,0.0,0.0,-1
2022-03-28,9.98,9.98,9.98,9.98,87,0.0,0.0,0.0,0.0,0.0,-1
2022-03-25,9.97,9.98,9.97,9.98,7501,0.01,0.01,0.1,0.1,0.0,1
2022-03-24,9.97,9.97,9.97,9.97,100,0.0,0.0,0.0,0.0,0.0,-1
2022-03-23,9.97,9.97,9.97,9.97,1302,0.0,0.0,0.0,0.0,0.0,-1
2022-03-22,9.97,9.97,9.96,9.97,4600,0.0,0.01,0.0,0.1,0.01,-1
2022-03-21,9.98,9.98,9.97,9.97,575,-0.01,0.01,-0.1,0.1,0.0,-1
2022-03-18,9.98,9.98,9.98,9.98,1073,0.0,0.0,0.0,0.0,0.0,1
2022-03-17,9.96,9.96,9.96,9.96,530,0.0,0.0,0.0,0.0,0.0,-1
2022-03-16,9.97,9.97,9.97,9.97,40000,0.0,0.0,0.0,0.0,0.0,-1
2022-03-15,9.98,9.98,9.97,9.97,3000,-0.01,0.01,-0.1,0.1,0.0,1
2022-03-14,9.96,9.96,9.96,9.96,516,0.0,0.0,0.0,0.0,0.0,-1
2022-03-11,9.97,9.97,9.97,9.97,9905,0.0,0.0,0.0,0.0,0.0,1
2022-03-10,9.94,9.96,9.94,9.96,50240,0.02,0.02,0.2,0.2,0.01,-1
2022-03-09,9.96,9.96,9.95,9.96,786,0.0,0.01,0.0,0.1,0.01,-1
2022-03-08,9.96,9.96,9.96,9.96,2191,0.0,0.0,0.0,0.0,0.0,-1
2022-03-07,9.96,9.96,9.96,9.96,65619,0.0,0.0,0.0,0.0,0.0,-1
2022-03-04,9.96,9.96,9.96,9.96,100,0.0,0.0,0.0,0.0,0.0,-1
2022-03-03,9.96,9.96,9.96,9.96,22,0.0,0.0,0.0,0.0,0.0,-1
2022-03-02,9.96,9.96,9.96,9.96,19,0.0,0.0,0.0,0.0,0.0,-1
2022-03-01,9.96,9.96,9.95,9.96,10717,0.01,0.01,0.05,0.1,0.01,1
2022-02-28,9.95,9.95,9.95,9.95,2530,0.0,0.0,0.0,0.0,0.0,1
2022-02-25,9.95,9.95,9.94,9.94,2439,-0.0,0.01,-0.05,0.1,0.0,-1
2022-02-24,9.94,9.94,9.94,9.94,0,0.0,0.0,0.0,0.0,0.0,-1
2022-02-23,9.94,9.94,9.94,9.94,871,0.0,0.0,0.0,0.0,0.0,-1
2022-02-22,9.95,9.95,9.95,9.95,55,0.0,0.0,0.0,0.0,0.0,-1
2022-02-18,9.95,9.95,9.95,9.95,50,0.0,0.0,0.0,0.0,0.0,-1
2022-02-17,9.95,9.95,9.95,9.95,150,0.0,0.0,0.0,0.0,0.0,-1
2022-02-16,9.95,9.96,9.95,9.95,6106,0.0,0.01,0.0,0.05,0.0,-1
2022-02-15,9.95,9.95,9.95,9.95,117,0.0,0.0,0.0,0.0,0.0,1
2022-02-14,9.94,9.94,9.94,9.94,1,0.0,0.0,0.0,0.0,0.0,-1
2022-02-11,9.94,9.94,9.94,9.94,102,0.0,0.0,0.0,0.0,0.0,-1
2022-02-10,9.94,9.95,9.94,9.95,6280,0.01,0.01,0.1,0.15,0.01,1
2022-02-09,9.93,9.93,9.93,9.93,1,0.0,0.0,0.0,0.0,0.0,-1
2022-02-08,9.91,9.93,9.91,9.93,600,0.02,0.02,0.2,0.2,0.01,-1
2022-02-07,9.94,9.94,9.93,9.93,205,-0.01,0.01,-0.07,0.07,0.0,1
2022-02-04,9.94,9.94,9.91,9.91,8016,-0.03,0.03,-0.3,0.3,0.01,1
2022-02-03,9.9,9.9,9.9,9.9,97,0.0,0.0,0.0,0.0,0.0,-1
2022-02-02,9.9,9.9,9.9,9.9,10,0.0,0.0,0.0,0.0,0.0,-1
2022-02-01,9.94,9.94,9.9,9.9,6826,-0.04,0.04,-0.4,0.4,0.02,-1
2022-01-31,9.92,9.94,9.89,9.9,6907,-0.02,0.05,-0.2,0.51,0.02,-1
2022-01-28,9.9,9.9,9.89,9.9,696,0.0,0.01,0.0,0.1,0.0,-1
2022-01-27,9.9,9.9,9.9,9.9,314,0.0,0.0,0.0,0.0,0.0,-1
2022-01-26,9.92,10.03,9.89,9.93,66061,0.01,0.14,0.1,1.41,0.07,1
2022-01-25,9.89,9.92,9.89,9.92,1315,0.03,0.03,0.3,0.3,0.01,1
2022-01-24,9.9,9.91,9.9,9.91,401,0.01,0.01,0.05,0.05,0.0,1
2022-01-21,9.9,9.9,9.9,9.9,1105,0.0,0.01,0.0,0.05,0.0,-1
2022-01-20,9.9,9.9,9.9,9.9,1200,0.0,0.0,0.0,0.0,0.0,-1
2022-01-19,9.91,9.93,9.91,9.93,2024,0.02,0.02,0.2,0.2,0.01,-1
2022-01-18,9.93,9.93,9.93,9.93,220,0.0,0.0,0.0,0.0,0.0,1
2022-01-14,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2022-01-13,9.92,9.92,9.92,9.92,36832,0.0,0.0,0.0,0.0,0.0,1
2022-01-12,9.91,9.91,9.91,9.91,16,0.0,0.0,0.0,0.0,0.0,-1
2022-01-11,9.91,9.91,9.91,9.91,80676,0.0,0.0,0.0,0.0,0.0,-1
2022-01-10,9.91,9.91,9.91,9.91,1634,0.0,0.0,0.0,0.0,0.0,-1
2022-01-07,9.91,9.91,9.91,9.91,2,0.0,0.0,0.0,0.0,0.0,-1
2022-01-06,9.91,9.91,9.91,9.91,71063,0.0,0.0,0.0,0.0,0.0,-1
2022-01-05,9.91,9.91,9.91,9.91,1,0.0,0.0,0.0,0.0,0.0,-1
2022-01-04,9.91,9.91,9.91,9.91,7698,0.0,0.0,0.0,0.0,0.0,1
2022-01-03,9.91,9.91,9.9,9.9,11950,-0.01,0.01,-0.1,0.1,0.0,-1
2021-12-31,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,0.0,0.0,-1
2021-12-30,9.9,9.9,9.9,9.9,222,0.0,0.0,0.0,0.0,0.0,-1
2021-12-29,9.91,9.91,9.91,9.91,5,0.0,0.0,0.0,0.0,0.0,-1
2021-12-28,9.91,9.91,9.91,9.91,36,0.0,0.0,0.0,0.0,0.0,-1
2021-12-27,9.91,9.91,9.91,9.91,1,0.0,0.0,0.0,0.0,0.0,-1
2021-12-23,9.91,9.91,9.91,9.91,23,0.0,0.0,0.0,0.0,0.0,-1
2021-12-22,9.91,9.91,9.91,9.91,1163,0.0,0.0,0.0,0.0,0.0,-1
2021-12-21,9.91,9.91,9.91,9.91,17,0.0,0.0,0.0,0.0,0.0,-1
2021-12-20,9.91,9.91,9.91,9.91,5,0.0,0.0,0.0,0.0,0.0,-1
2021-12-17,9.88,9.91,9.88,9.91,15497,0.03,0.03,0.3,0.3,0.01,1
2021-12-16,9.85,9.9,9.85,9.85,62561,0.0,0.05,0.0,0.51,0.03,-1
2021-12-15,9.88,9.88,9.88,9.88,1085,0.0,0.0,0.0,0.0,0.0,-1
2021-12-14,9.9,9.9,9.89,9.89,1580,-0.01,0.01,-0.1,0.1,0.0,-1
2021-12-13,9.9,9.9,9.9,9.9,100,0.0,0.0,0.0,0.0,0.0,-1
2021-12-10,9.9,9.92,9.9,9.92,555,0.02,0.02,0.2,0.2,0.01,1
2021-12-09,9.95,9.96,9.9,9.9,2194,-0.05,0.06,-0.51,0.61,0.03,-1
2021-12-08,9.93,9.93,9.93,9.93,71,0.0,0.0,0.0,0.0,0.0,-1
2021-12-07,9.94,9.97,9.93,9.93,99066,-0.01,0.04,-0.1,0.4,0.02,1
2021-12-06,9.92,9.92,9.92,9.92,18,0.0,0.0,0.0,0.0,0.0,-1
2021-12-03,9.92,9.92,9.92,9.92,239,0.0,0.0,0.0,0.0,0.0,-1
2021-12-02,9.95,9.95,9.95,9.95,10,0.0,0.0,0.0,0.0,0.0,-1
2021-12-01,9.92,9.95,9.92,9.95,3311,0.03,0.03,0.3,0.3,0.01,1
2021-11-30,9.94,9.94,9.93,9.93,21946,-0.01,0.01,-0.1,0.1,0.0,-1
2021-11-29,9.95,10.0,9.93,10.0,5379,0.05,0.07,0.5,0.7,0.04,1
2021-11-26,9.95,9.95,9.94,9.94,841,-0.01,0.01,-0.1,0.1,0.0,-1
2021-11-24,9.93,9.96,9.93,9.96,404,0.03,0.03,0.34,0.34,0.02,-1
2021-11-23,9.95,9.99,9.95,9.99,8194,0.04,0.04,0.4,0.4,0.02,1
2021-11-22,9.93,9.96,9.92,9.96,2025,0.03,0.04,0.3,0.4,0.02,-1
2021-11-19,9.95,9.96,9.92,9.96,4674,0.01,0.04,0.07,0.4,0.02,1
2021-11-18,9.95,9.97,9.92,9.92,5750,-0.03,0.05,-0.3,0.5,0.03,-1
2021-11-17,9.95,10.07,9.94,9.94,11154,-0.01,0.13,-0.1,1.31,0.07,-1
2021-11-16,9.96,10.48,9.95,10.0,17016,0.04,0.53,0.38,5.3,0.27,1
2021-11-15,9.98,9.98,9.94,9.97,17958,-0.01,0.04,-0.1,0.4,0.02,-1
2021-11-12,9.93,9.98,9.93,9.98,52355,0.05,0.05,0.5,0.5,0.03,1
2021-11-11,9.9,9.9,9.9,9.9,10,0.0,0.0,0.0,0.0,0.0,-1
2021-11-10,9.9,9.9,9.9,9.9,690,0.0,0.0,0.0,0.0,0.0,-1
2021-11-09,9.95,9.95,9.93,9.93,6702,-0.02,0.02,-0.2,0.2,0.01,1
2021-11-08,9.9,9.92,9.9,9.92,12650,0.02,0.02,0.2,0.2,0.01,-1
2021-11-05,9.93,9.93,9.91,9.93,62994,0.0,0.02,0.0,0.2,0.01,1
2021-11-04,9.9,9.94,9.9,9.91,722698,0.01,0.04,0.1,0.4,0.02,-1
2021-11-03,9.95,9.95,9.95,9.95,100,0.0,0.0,0.0,0.0,0.0,-1
2021-11-02,9.9,9.95,9.9,9.95,103164,0.05,0.05,0.5,0.5,0.02,1
2021-11-01,9.93,9.94,9.93,9.94,2403,0.01,0.01,0.1,0.1,0.0,-1
2021-10-29,9.96,9.96,9.93,9.94,318836,-0.02,0.03,-0.2,0.3,0.01,1
2021-10-28,9.93,9.93,9.93,9.93,4,0.0,0.0,0.0,0.0,0.0,-1
2021-10-27,9.9,9.93,9.9,9.93,224227,0.03,0.03,0.3,0.3,0.01,1
2021-10-26,9.86,9.91,9.86,9.91,15176,0.05,0.05,0.5,0.5,0.03,1
2021-10-25,9.86,9.86,9.86,9.86,16,0.0,0.0,0.0,0.0,0.0,-1
2021-10-22,9.86,9.86,9.86,9.86,72,0.0,0.0,0.0,0.0,0.0,-1
2021-10-21,9.9,9.91,9.84,9.86,454053,-0.04,0.07,-0.41,0.71,0.04,-1
2021-10-20,9.91,9.91,9.91,9.91,150002,0.0,0.0,0.0,0.0,0.0,-1
2021-10-19,9.92,9.92,9.91,9.92,58100,0.0,0.01,0.0,0.1,0.0,-1
2021-10-18,9.94,9.94,9.94,9.94,0,0.0,0.0,0.0,0.0,0.0,-1
2021-10-15,9.93,9.94,9.93,9.94,60931,0.01,0.01,0.1,0.1,0.0,-1
2021-10-14,9.98,9.99,9.93,9.94,110526,-0.04,0.06,-0.4,0.6,0.03,1
2021-10-13,9.9,9.92,9.9,9.92,15301,0.02,0.02,0.2,0.2,0.01,1
2021-10-12,9.86,9.95,9.86,9.91,104230,0.05,0.09,0.55,0.91,0.04,1
2021-10-11,9.84,9.85,9.84,9.85,72100,0.01,0.01,0.1,0.1,0.0,1
2021-10-08,9.84,9.84,9.84,9.84,785,0.0,0.0,0.0,0.0,0.0,-1
2021-10-07,9.85,9.85,9.83,9.84,641686,-0.01,0.02,-0.1,0.2,0.01,-1
2021-10-06,9.8,9.85,9.76,9.85,145345,0.05,0.09,0.51,0.89,0.04,-1
2021-10-05,9.82,9.85,9.82,9.85,110707,0.03,0.03,0.3,0.3,0.01,1
2021-10-04,9.82,9.82,9.82,9.82,100,0.0,0.0,0.0,0.0,0.0,-1
2021-10-01,9.82,9.82,9.82,9.82,100,0.0,0.0,0.0,0.0,0.0,-1
